t,wind
1962,8.532
1963,2.124
1964,0.396
1965,0.594
1966,0.234
1967,0.396
1968,0.576
1969,0.99
1970,0.54
1971,0.378
1972,1.044
1973,0.234
1974,2.214
1975,1.08
1976,1.674
1977,3.69
1978,7.02
1979,9.864
1980,11.628
1981,12.366
1982,14.382
1983,14.238
1984,12.816
1985,11.448
1986,10.35
1987,6.894
1988,2.934
1989,1.71
1990,1.098
1991,2.178
1992,0.972
1993,1.476
1994,0.594
1995,0.972
1996,1.206
1997,1.62
1998,2.592
1999,4.788
2000,5.436
2001,4.752
2002,5.778
2003,6.912
2004,8.37
2005,6.786
2006,10.314
2007,8.046
2008,6.3
2009,4.716
2010,2.556
2011,0.162
2012,0.018
2013,0.036
2014,1.656
2015,1.674
2016,0.702
2017,2.448
2018,1.422
2019,0.342
2020,0.018
2021,0.54
2022,0.684
2023,0
2024,0.342
2025,4.086
2026,6.246
2027,6.012
2028,8.604
2029,10.53
2030,9.72
2031,11.106
2032,11.7
2033,8.91
2034,6.894
2035,6.354
2036,4.986
2037,2.178
2038,1.404
2039,0.972
2040,0.738
2041,0.576
2042,0.252
2043,0.414
2044,1.062
2045,2.754
2046,2.232
2047,0.612
2048,1.026
2049,3.222
2050,4.194
2051,4.716
2052,4.86
2053,5.886
2054,6.948
2055,8.712
2056,8.244
2057,9.432
2058,11.628
2059,6.75
2060,6.336
2061,3.276
2062,0.576
2063,0.648
2064,0.828
2065,0.45
2066,0.522
2067,2.358
2068,3.168
2069,0.756
2070,0.558
2071,0.306
2072,1.89
2073,4.05
2074,3.906
2075,3.294
2076,5.508
2077,7.506
2078,10.962
2079,8.874
2080,10.782
2081,11.124
2082,10.08
2083,9.45
2084,5.364
2085,0.63
2086,0.414
2087,0.99
2088,0.99
2089,1.134
2090,1.8
2091,0.126
2092,0.072
2093,0.18
2094,0.126
2095,0.432
2096,0.918
2097,2.97
2098,5.58
2099,8.028
2100,9.612
2101,9.792
2102,8.568
2103,8.352
2104,7.218
2105,5.796
2106,2.808
2107,0.99
2108,0.09
2109,0.936
2110,0.126
2111,0.846
2112,0.918
2113,0.576
2114,0.09
2115,0.126
2116,0.252
2117,0.306
2118,0.054
2119,0.216
2120,3.024
2121,2.286
2122,4.014
2123,5.4
2124,6.21
2125,5.526
2126,5.742
2127,5.688
2128,5.13
2129,4.59
2130,3.348
2131,0.738
2132,0.27
2133,0.144
2134,0.126
2135,0.234
2136,0.018
2137,0.036
2138,0.882
2139,8.856
2140,9.918
2141,4.482
2142,1.782
2143,3.474
2144,1.998
