t,water
956,2188000
957,2189000
958,2189000
959,2189000
960,2190000
961,2190000
962,2190000
963,2189000
964,2190000
965,2190000
966,2191000
967,2190000
968,2190000
969,2190000
970,2191000
971,2191000
972,2191000
973,2192000
974,2194000
975,2193000
976,2192000
977,588000
978,2192000
979,2192000
980,2191000
981,2192000
982,2192000
983,2193000
984,2192000
985,2193000
986,2193000
987,2193000
988,2192000
989,2192000
990,2193000
991,2193000
992,2192000
993,2193000
994,2193000
995,2193000
996,2193000
997,2193000
998,2193000
999,2193000
1000,2193000
1001,2192000
1002,2193000
1003,2193000
1004,2192000
1005,2191000
1006,2192000
1007,2193000
1008,2192000
1009,2192000
1010,2193000
1011,2193000
1012,2192000
1013,2190000
1014,2191000
1015,2193000
1016,2192000
1017,2191000
1018,2193000
1019,2193000
1020,2193000
1021,2192000
1022,2192000
1023,2192000
1024,2192000
1025,2191000
1026,2191000
1027,2191000
1028,2192000
1029,2191000
1030,2191000
1031,2192000
1032,2192000
1033,2191000
1034,2192000
1035,2192000
1036,2192000
1037,2191000
1038,2190000
1039,2191000
1040,2192000
1041,2192000
1042,2191000
1043,2192000
1044,2191000
1045,2191000
1046,2190000
1047,2190000
1048,2191000
1049,2191000
1050,2189000
1051,2190000
1052,2190000
1053,2190000
1054,2190000
1055,2190000
1056,2190000
1057,2191000
1058,2190000
1059,2190000
1060,2190000
1061,2191000
1062,2190000
1063,2191000
1064,2192000
1065,2193000
1066,2192000
1067,2192000
1068,2192000
1069,2193000
1070,2192000
1071,2191000
1072,2192000
1073,2192000
1074,2192000
1075,2191000
1076,2191000
1077,2192000
1078,2191000
1079,2190000
1080,2190000
1081,2192000
1082,2191000
1083,2190000
1084,2191000
1085,2191000
1086,2191000
1087,2190000
1088,2190000
1089,2192000
1090,2192000
1091,2191000
1092,2191000
1093,2191000
1094,2191000
1095,2190000
1096,2190000
1097,2191000
1098,2190000
1099,2189000
1100,2189000
1101,2190000
1102,2190000
1103,2189000
1104,2188000
1105,2188000
1106,2189000
1107,2189000
1108,2188000
1109,2188000
1110,2188000
1111,2189000
1112,2188000
1113,2188000
1114,2188000
1115,2188000
1116,2188000
1117,2187000
1118,2187000
1119,2188000
1120,2188000
1121,2187000
1122,2187000
1123,2187000
1124,2187000
1125,2186000
1126,2186000
1127,2187000
1128,2187000
1129,2186000
1130,2187000
1131,2187000
1132,2188000
1133,2187000
1134,2187000
1135,2187000
1136,2188000
1137,2188000
1138,2188000
1139,2188000
1140,2188000
1141,2188000
1142,2187000
1143,2188000
1144,2188000
1145,2188000
1146,2187000
1147,2188000
1148,2188000
1149,2188000
1150,2187000
1151,2188000
1152,2188000
1153,2188000
1154,2188000
1155,2187000
1156,2188000
1157,2188000
1158,2188000
1159,2188000
1160,2188000
1161,2188000
1162,2188000
1163,2188000
1164,2188000
1165,2188000
1166,2189000
1167,2189000
1168,2188000
1169,2188000
1170,2189000
1171,2188000
1172,2188000
1173,2188000
1174,2188000
1175,2189000
1176,2188000
1177,2189000
1178,2190000
1179,2189000
1180,2190000
1181,2191000
1182,2191000
1183,2192000
1184,2191000
1185,2191000
